name,star,rating,review
"Redmi 9 Prime (Space Blue, 128 GB)",4.4,"98,006","6,539"
"Redmi 9 Prime (Mint Green, 128 GB)",4.4,"98,006","6,539"
"SAMSUNG Galaxy F41 (Fusion Black, 128 GB)",4.3,"2,60,229","30,541"
"Google Pixel 4a (Just Black, 128 GB)",4.6,"17,105","3,168"
"realme X7 5G (Space Silver, 128 GB)",4.3,"5,323",456
"SAMSUNG Galaxy M12 (Blue, 64 GB)",4.1,103,8
"ViVO Y51A (Titanium Sapphire, 128 GB)",4.4,"2,762",197
"realme X7 5G (Nebula, 128 GB)",4.4,"22,981","2,310"
"REDMI Note 10 (Shadow Black, 64 GB)",4.3,851,67
"REDMI Note 9 (Aqua Green, 128 GB)",4.3,"3,098",203
"ViVO Y20G (Purist Blue, 128 GB)",4.3,999,55
"ViVO Y31 (Racing Black, 128 GB)",4.4,"2,489",191
"REDMI Note 10 Pro (Glacial Blue, 128 GB)",4.4,90,11
"MOTOROLA G9 Power (Electric Violet, 64 GB)",4.1,"23,781","2,404"
"Redmi 9 (Sporty Orange, 64 GB)",4.2,"11,513",677
"REDMI Note 10 Pro Max (Dark Night, 128 GB)",4.2,483,43
"REDMI Note 10 Pro Max (Glacial Blue, 128 GB)",4.4,85,8
"Redmi 9 (Sky Blue, 64 GB)",4.2,"11,513",677
